locatie-id	locatie	id	longitude	latitude
Parking Kruibeke-3640	Parking Kruibeke	3640	4.289731136	51.18460764
Parking Kruibeke-3638	Parking Kruibeke	3638	4.289886819	51.18444736
Parking Kruibeke-3639	Parking Kruibeke	3639	4.289862173	51.18447616
Snede noordzijde sleuf Boom-2304	Snede noordzijde sleuf Boom	2304	4.372085349	51.11500236
Snede noordzijde sleuf Boom-2303	Snede noordzijde sleuf Boom	2303	4.371990129	51.11499857
Snede noordzijde sleuf Boom-2302	Snede noordzijde sleuf Boom	2302	4.371560926	51.11532081
Snede noordzijde sleuf Boom-2301	Snede noordzijde sleuf Boom	2301	4.371560926	51.11532081
Snede noordzijde sleuf Boom-2300	Snede noordzijde sleuf Boom	2300	4.371673213	51.11530523
Halve snede kmpt. 95.7-3630	Halve snede kmpt. 95.7	3630	4.311844161	51.19618185
Halve snede kmpt. 96.2-3631	Halve snede kmpt. 96.2	3631	4.306274524	51.19283239
Halve snede kmpt. 96.2-3632	Halve snede kmpt. 96.2	3632	4.306274524	51.19283239
Halve snede kmpt. 96.2-3633	Halve snede kmpt. 96.2	3633	4.306274524	51.19283239
Halve snede kmpt. 96.7-3634	Halve snede kmpt. 96.7	3634	4.301173067	51.18992473
Snede Everberg - Sterrebeek 1-2309	Snede Everberg - Sterrebeek 1	2309	4.5553058	50.8691148
Halve snede kmpt. 96.7-3635	Halve snede kmpt. 96.7	3635	4.301173067	51.18992473
Snede Everberg - Sterrebeek 1-2308	Snede Everberg - Sterrebeek 1	2308	4.5553077	50.86914738
Halve snede kmpt. 96.7-3636	Halve snede kmpt. 96.7	3636	4.301173067	51.18992473
Parking Kruibeke-3637	Parking Kruibeke	3637	4.289906288	51.1844212
Knooppunt Groot-Bijgaarden Noord-3650	Knooppunt Groot-Bijgaarden Noord	3650	4.2777	50.877653
Knooppunt St-Stevens-Woluwe West-3651	Knooppunt St-Stevens-Woluwe West	3651	4.464575847	50.86780028
grens - Zandvliet - Antwerpsebaan-2320	grens - Zandvliet - Antwerpsebaan	2320	4.316004	51.365864
grens - Zandvliet - Antwerpsebaan-2317	grens - Zandvliet - Antwerpsebaan	2317	4.319755	51.366054
Knooppunt Groot-Bijgaarden Noord-3649	Knooppunt Groot-Bijgaarden Noord	3649	4.277737	50.877634
grens - Zandvliet - Antwerpsebaan-2316	grens - Zandvliet - Antwerpsebaan	2316	4.320441	51.365622
grens - Zandvliet - Antwerpsebaan-2315	grens - Zandvliet - Antwerpsebaan	2315	4.320448	51.365648
Snede Everberg - Sterrebeek 1-2314	Snede Everberg - Sterrebeek 1	2314	4.555295287	50.86898245
Snede Everberg - Sterrebeek 1-2313	Snede Everberg - Sterrebeek 1	2313	4.5552909	50.86894177
Snede Everberg - Sterrebeek 1-2312	Snede Everberg - Sterrebeek 1	2312	4.555285126	50.86891206
Snede Everberg - Sterrebeek 1-2311	Snede Everberg - Sterrebeek 1	2311	4.55529843	50.86904963
Snede Everberg - Sterrebeek 1-2310	Snede Everberg - Sterrebeek 1	2310	4.55530213	50.86908671
Parking Kruibeke-3641	Parking Kruibeke	3641	4.289755743	51.1845814
Parking Kruibeke-3642	Parking Kruibeke	3642	4.289785864	51.18455532
Parking Kruibeke-3643	Parking Kruibeke	3643	4.291265225	51.18482849
Parking Kruibeke-3644	Parking Kruibeke	3644	4.286552437	51.18284933
Parking Kruibeke-3645	Parking Kruibeke	3645	4.287195424	51.18369762
Parking Kruibeke-3646	Parking Kruibeke	3646	4.292666209	51.18598651
grens - Zandvliet - Antwerpsebaan-2319	grens - Zandvliet - Antwerpsebaan	2319	4.318442	51.366403
Parking Kruibeke-3647	Parking Kruibeke	3647	4.292153661	51.1857449
grens - Zandvliet - Antwerpsebaan-2318	grens - Zandvliet - Antwerpsebaan	2318	4.319998	51.36616
Knooppunt Groot-Bijgaarden Noord-3648	Knooppunt Groot-Bijgaarden Noord	3648	4.277989939	50.87774365
complex Heusden (4)-1000	complex Heusden (4)	1000	3.811193236	51.06013769
Complex Zoersel-2331	Complex Zoersel	2331	4.701954	51.243234
Complex Zoersel-2330	Complex Zoersel	2330	4.703607	51.243588
Complex Zoersel-2328	Complex Zoersel	2328	4.695888	51.243619
Complex Zoersel-2327	Complex Zoersel	2327	4.695869	51.24365
Complex Zoersel-2326	Complex Zoersel	2326	4.699265	51.243877
Complex Zoersel-2325	Complex Zoersel	2325	4.696977	51.243424
Complex Zoersel-2324	Complex Zoersel	2324	4.696969	51.24346
grens - Zandvliet - Antwerpsebaan-2323	grens - Zandvliet - Antwerpsebaan	2323	4.316401	51.365728
grens - Zandvliet - Antwerpsebaan-2322	grens - Zandvliet - Antwerpsebaan	2322	4.316039	51.365924
grens - Zandvliet - Antwerpsebaan-2321	grens - Zandvliet - Antwerpsebaan	2321	4.316022	51.365894
Knooppunt St-Stevens-Woluwe West-3652	Knooppunt St-Stevens-Woluwe West	3652	4.464575847	50.86780028
complex nr 17 Herent-3653	complex nr 17 Herent	3653	4.685754584	50.8931436
complex Houthalen-Helchteren-3657	complex Houthalen-Helchteren	3657	5.378727706	51.01283437
complex Houthalen-Helchteren-3658	complex Houthalen-Helchteren	3658	5.376515584	51.01289368
Complex Zoersel-2329	Complex Zoersel	2329	4.703606	51.243554
Snede Oud Heverlee 3-3670	Snede Oud Heverlee 3	3670	4.661229045	50.85235893
Snede Oud Heverlee 3-3671	Snede Oud Heverlee 3	3671	4.661229045	50.85235893
Snede Oud Heverlee 3-3672	Snede Oud Heverlee 3	3672	4.66174721	50.85254497
Snede Oud Heverlee 3-3673	Snede Oud Heverlee 3	3673	4.65915624	50.85266606
complex Laarne (5)-1011	complex Laarne (5)	1011	3.822652217	51.03190176
E313 Spitsstrook kmpt. 0,4-2342	E313 Spitsstrook kmpt. 0,4	2342	4.452975543	51.21590533
complex Laarne (5)-1010	complex Laarne (5)	1010	3.823798818	51.0319442
E313 Spitsstrook kmpt. 0,4-2341	E313 Spitsstrook kmpt. 0,4	2341	4.452993707	51.21587307
complex nr 9 Oostkamp-2340	complex nr 9 Oostkamp	2340	3.250641186	51.14098111
complex Laarne (5)-1008	complex Laarne (5)	1008	3.824553053	51.03179132
complex Laarne (5)-1007	complex Laarne (5)	1007	3.82722036	51.0348888
complex Laarne (5)-1006	complex Laarne (5)	1006	3.826009789	51.03471384
complex Laarne (5)-1005	complex Laarne (5)	1005	3.825507108	51.03481149
complex Laarne (5)-1004	complex Laarne (5)	1004	3.825507108	51.03481149
complex Heusden (4)-1003	complex Heusden (4)	1003	3.814811357	51.06129021
complex Heusden (4)-1002	complex Heusden (4)	1002	3.814735079	51.06120296
complex Heusden (4)-1001	complex Heusden (4)	1001	3.811300881	51.06006026
Complex Zoersel-2332	Complex Zoersel	2332	4.705338	51.243368
Snede Oud Heverlee 3-3663	Snede Oud Heverlee 3	3663	4.65857593	50.85297989
Snede Oud Heverlee 3-3664	Snede Oud Heverlee 3	3664	4.65859209	50.85301019
Snede Oud Heverlee 3-3665	Snede Oud Heverlee 3	3665	4.65860825	50.85303937
Snede Oud Heverlee 3-3666	Snede Oud Heverlee 3	3666	4.65610179	50.85319838
Snede Oud Heverlee 3-3667	Snede Oud Heverlee 3	3667	4.661195911	50.85214932
Snede Oud Heverlee 3-3668	Snede Oud Heverlee 3	3668	4.661205131	50.8522005
Snede Oud Heverlee 3-3669	Snede Oud Heverlee 3	3669	4.661229045	50.85235893
complex Laarne (5)-1009	complex Laarne (5)	1009	3.824553053	51.03179132
complex Merelbeke-ring (7) (noordzijde)-1022	complex Merelbeke-ring (7) (noordzijde)	1022	3.770216693	51.00829521
E313 Spitsstrook kmpt. 1,270-2353	E313 Spitsstrook kmpt. 1,270	2353	4.461505722	51.21206329
complex Merelbeke-ring (7) (noordzijde)-1021	complex Merelbeke-ring (7) (noordzijde)	1021	3.770884235	51.00809199
E313 Spitsstrook kmpt. 1,270-2352	E313 Spitsstrook kmpt. 1,270	2352	4.461470181	51.21204193
complex Merelbeke-ring (7) (noordzijde)-1020	complex Merelbeke-ring (7) (noordzijde)	1020	3.770884235	51.00809199
E313 Spitsstrook kmpt. 1,270-2351	E313 Spitsstrook kmpt. 1,270	2351	4.461430253	51.21201968
E313 Spitsstrook kmpt. 1,270-2350	E313 Spitsstrook kmpt. 1,270	2350	4.461390109	51.2119964
complex Melle (6)-1019	complex Melle (6)	1019	3.791313357	51.01112226
complex Melle (6)-1018	complex Melle (6)	1018	3.788121986	51.00946399
E313 Spitsstrook kmpt. 0,750-2349	E313 Spitsstrook kmpt. 0,750	2349	4.457275079	51.21588649
complex Melle (6)-1017	complex Melle (6)	1017	3.787081818	51.01067165
E313 Spitsstrook kmpt. 0,750-2348	E313 Spitsstrook kmpt. 0,750	2348	4.457245972	51.21585884
complex Melle (6)-1016	complex Melle (6)	1016	3.788565773	51.01057027
E313 Spitsstrook kmpt. 0,750-2347	E313 Spitsstrook kmpt. 0,750	2347	4.457213831	51.21583294
complex Melle (6)-1015	complex Melle (6)	1015	3.787985097	51.00959664
E313 Spitsstrook kmpt. 0,750-2346	E313 Spitsstrook kmpt. 0,750	2346	4.45718154	51.21580604
complex Melle (6)-1014	complex Melle (6)	1014	3.787985097	51.00959664
E313 Spitsstrook kmpt. 0,750-2345	E313 Spitsstrook kmpt. 0,750	2345	4.457154961	51.21577734
complex Melle (6)-1013	complex Melle (6)	1013	3.787889731	51.00968835
E313 Spitsstrook kmpt. 0,4-2344	E313 Spitsstrook kmpt. 0,4	2344	4.452938287	51.21596683
complex Melle (6)-1012	complex Melle (6)	1012	3.787889731	51.00968835
E313 Spitsstrook kmpt. 0,4-2343	E313 Spitsstrook kmpt. 0,4	2343	4.452957047	51.21593611
Knooppunt Heverlee Oostkant-3674	Knooppunt Heverlee Oostkant	3674	4.652054	50.855059
Knooppunt Heverlee Oostkant-3675	Knooppunt Heverlee Oostkant	3675	4.651982	50.854963
Knooppunt Heverlee Oostkant-3676	Knooppunt Heverlee Oostkant	3676	4.651515863	50.85456682
Knooppunt Heverlee Oostkant-3677	Knooppunt Heverlee Oostkant	3677	4.651538794	50.85461227
Snede Herent  Winksele-3695	Snede Herent  Winksele	3695	4.67905701	50.89075483
complex Deinze (7)-1033	complex Deinze (7)	1033	3.561189599	50.95410587
E313 Spitsstrook kmpt. 2,730-2364	E313 Spitsstrook kmpt. 2,730	2364	4.480570416	51.21070299
complex Deinze (7)-1032	complex Deinze (7)	1032	3.561223312	50.95407783
E313 Spitsstrook kmpt. 2,730-2363	E313 Spitsstrook kmpt. 2,730	2363	4.480559376	51.21066931
complex Deinze (7)-1031	complex Deinze (7)	1031	3.561255168	50.95405344
E313 Spitsstrook kmpt. 2,730-2362	E313 Spitsstrook kmpt. 2,730	2362	4.480547777	51.21063596
complex Deinze (7)-1030	complex Deinze (7)	1030	3.565667755	50.95804531
E313 Spitsstrook kmpt. 2,1-2361	E313 Spitsstrook kmpt. 2,1	2361	4.472450708	51.21130709
E313 Spitsstrook kmpt. 2,1-2360	E313 Spitsstrook kmpt. 2,1	2360	4.472461395	51.21127544
complex Deinze (7)-1029	complex Deinze (7)	1029	3.565844011	50.95815044
complex Deinze (7)-1028	complex Deinze (7)	1028	3.566541493	50.95695587
E313 Spitsstrook kmpt. 2,1-2359	E313 Spitsstrook kmpt. 2,1	2359	4.472471	51.2112451
complex Deinze (7)-1027	complex Deinze (7)	1027	3.566505801	50.95698486
E313 Spitsstrook kmpt. 2,1-2358	E313 Spitsstrook kmpt. 2,1	2358	4.472483657	51.21121407
complex Deinze (7)-1026	complex Deinze (7)	1026	3.56647114	50.95700976
E313 Spitsstrook kmpt. 1,720-2357	E313 Spitsstrook kmpt. 1,720	2357	4.466449111	51.21066613
complex Merelbeke-ring (7) (noordzijde)-1025	complex Merelbeke-ring (7) (noordzijde)	1025	3.770856956	51.00792868
E313 Spitsstrook kmpt. 1,720-2356	E313 Spitsstrook kmpt. 1,720	2356	4.466446107	51.21063411
complex Merelbeke-ring (7) (noordzijde)-1024	complex Merelbeke-ring (7) (noordzijde)	1024	3.770856956	51.00792868
E313 Spitsstrook kmpt. 1,720-2355	E313 Spitsstrook kmpt. 1,720	2355	4.466444588	51.21060115
complex Merelbeke-ring (7) (noordzijde)-1023	complex Merelbeke-ring (7) (noordzijde)	1023	3.770293599	51.00814875
E313 Spitsstrook kmpt. 1,720-2354	E313 Spitsstrook kmpt. 1,720	2354	4.466446158	51.21056678
complex Stabroek (13) (deel 1)-1044	complex Stabroek (13) (deel 1)	1044	4.350997	51.324097
E313 Spitsstrook kmpt. 4,495-2375	E313 Spitsstrook kmpt. 4,495	2375	4.51290605	51.21178786
complex Stabroek (13) (deel 1)-1043	complex Stabroek (13) (deel 1)	1043	4.351042	51.3241
E313 Spitsstrook kmpt. 4,495-2374	E313 Spitsstrook kmpt. 4,495	2374	4.512908913	51.21175636
complex Stabroek (13) (deel 1)-1042	complex Stabroek (13) (deel 1)	1042	4.350409	51.326377
E313 Spitsstrook kmpt. 4,288-2373	E313 Spitsstrook kmpt. 4,288	2373	4.502331148	51.21157512
complex Stabroek (13) (deel 1)-1041	complex Stabroek (13) (deel 1)	1041	4.350136	51.326221
E313 Spitsstrook kmpt. 4,288-2372	E313 Spitsstrook kmpt. 4,288	2372	4.502331144	51.21154416
complex Stabroek (13) (deel 1)-1040	complex Stabroek (13) (deel 1)	1040	4.350179	51.326227
E313 Spitsstrook kmpt. 4,288-2371	E313 Spitsstrook kmpt. 4,288	2371	4.502334148	51.21151229
